stage_id,surface,claim_status,slo_class,target_status,avg_seconds,p95_seconds,wall_seconds,avg_margin_seconds,p95_margin_seconds,p95_margin_ratio,risk_level,risk_reason,promotion_impact,watch_action,source_artifacts
fast_first_output,runtime_120_windows,claim_now_runtime,claim_now_slo_pass,pass,0.383,0.445,,0.617,0.555,0.555,comfortable,short-latency p95 margin has at least 15% buffer,preserve claim-now latency,preserve current claim,outputs/system_timeline/summary.json
rule_writeback,runtime_120_windows,claim_now_runtime,claim_now_slo_pass,pass,24.647,28.334,,5.353,6.666,0.1905,comfortable,p95 margin has at least 5s and 15% buffer,preserve bounded writeback claim,preserve current claim,outputs/system_timeline/summary.json
runtime_safe_llm_guard,104_proxy_flagged_windows,claim_now_runtime_zero_harm,claim_now_slo_pass,pass,44.918,63.849,,5.082,1.151,0.0177,tight_margin,p95 margin below 2s or 5% of threshold,preserve but watch before post-live promotion,prioritize split20 resume or smaller max-patch policy before claiming broader guard latency,outputs/system_timeline/summary.json; outputs/runtime_safe_llm_window_batch/deepseek_proxy_high_risk_104w_latency_summary.json
llm_review_signal,4_review_cases,claim_now_memory_protection,claim_now_slo_pass,pass,46.097,55.8,,,,,claim_current_no_threshold,claim-current row has no numeric p95 threshold,preserve review/memory-protection timing,review before report promotion,outputs/system_timeline/summary.json; outputs/timeline_review_audit/llm_review_signal_timeline_audit_summary.json
omni_realtime_single_smoke,single_8s_audio_clip,smoke_only_not_omni48_claim,smoke_slo_pass,pass,0.744,,1.356,,,,smoke_only,smoke evidence cannot support full-surface claim,do not promote to Omni48 claim,keep as smoke/supporting evidence only,outputs/omni_guard/qwen35_omni_flash_realtime_guard_8s.jsonl
split20_simulated_policy,104_proxy_flagged_windows_offline_model,offline_budget_only,offline_budget_only,planning_only,41.226,46.005,,,,,planning_only,offline latency estimate cannot support claim,planning input for DeepSeek resume only,use as run planning evidence only,outputs/runtime_safe_llm_window_batch/deepseek_proxy_high_risk_104w_split_simulation_summary.json
split20_deepseek_top3_live_smoke,3_slowest_parent_windows_8_calls,supporting_smoke_only,smoke_slo_pass,pass,,,29.014,,,,smoke_only,smoke evidence cannot support full-surface claim,supporting smoke; not full-surface claim,keep as smoke/supporting evidence only,outputs/runtime_safe_llm_window_batch/deepseek_proxy_high_risk_split20_top3_parallel_comparison.json
split20_deepseek_full_resume,101_pending_parent_windows_139_calls,blocked_by_quota_or_missing_resume,pending_or_blocked,blocked_external,,,384.444,,,,blocked,live output or credentials required before claim,blocked until resume output and scoring exist,"wait for credentials, live output, and scoring",outputs/research_progress_snapshot/live_agent_execution_plan.json; outputs/research_progress_snapshot/live_postrun_metrics_closure.json
split20_qwen_backup_top45,2_parent_windows_4_calls,execution_fallback_only,fallback_only,backup_completed_slow,,,44.024,,,,fallback_only,fallback path is not primary latency support,fallback-only execution evidence,keep out of primary latency claim,outputs/runtime_safe_llm_window_batch/qwen36_flash_split20_top4_5_parallel_comparison.json
omni48_label_only_live,48_windows_96_calls,pending_omni48_live_outputs,pending_or_blocked,blocked_missing_credentials,,,,,,,blocked,live output or credentials required before claim,blocked until 96-call live output exists,"wait for credentials, live output, and scoring",outputs/research_progress_snapshot/omni48_live_call_manifest.json; outputs/research_progress_snapshot/live_postrun_metrics_closure.json
