trace_id,topic,expected_value,claim_boundary,source_artifacts_exist,report_covered,ppt_covered,fully_covered,source_artifacts,report_fragments,ppt_fragments,missing_report_fragments,missing_ppt_fragments,missing_source_artifacts
phase_result_scorecard,Phase result scorecard,results 8; SLO 4/4,phase_scorecard_no_live_or_scoring_calls,True,True,True,True,outputs/research_progress_snapshot/phase_result_scorecard.md,Phase result scorecard; phase_result_scorecard_from_existing_artifacts_no_live_calls; Result rows: `8`; DeepSeek API no-go,phasecard 8,,,
live_provider_routing_decision,Live provider routing decision,default none; deepseek no-go True,provider_route_blocks_default_deepseek_execute,True,True,True,True,outputs/research_progress_snapshot/live_provider_routing_decision.md,Live provider routing decision; live_provider_routing_decision_no_live_calls_no_secret_values; Route rows: `4`; Default execute scope: `none`,route none,,,
latency_budget_ledger,Runtime latency budget ledger,claim-now rows 4,claim_now_only,True,True,True,True,outputs/research_progress_snapshot/runtime_latency_budget_ledger.md,Runtime latency budget ledger; runtime_latency_budget_ledger_from_existing_artifacts; Claim-now rows: `4`,latency ledger,,,
stage_latency_slo_audit,Stage latency SLO audit,claim-now SLO 4/4,no_new_metric_claim,True,True,True,True,outputs/research_progress_snapshot/stage_latency_slo_audit.md,Stage latency SLO audit; stage_latency_slo_audit_from_latency_ledger_no_live_calls; Claim-now SLO pass: `4/4`,SLO 4/4,,,
latency_risk_margin_audit,Latency risk margin audit,tight 1 / guard tight_margin,risk_label_no_new_metric_claim,True,True,True,True,outputs/research_progress_snapshot/latency_risk_margin_audit.md,Latency risk margin audit; latency_risk_margin_audit_from_slo_no_live_calls; Tight-margin rows: `1`,latency risk tight1,,,
latency_risk_mitigation_plan,Latency risk mitigation plan,primary max20 / stretch max15,mitigation_plan_no_new_metric_claim,True,True,True,True,outputs/research_progress_snapshot/latency_risk_mitigation_plan.md,Latency risk mitigation plan; latency_risk_mitigation_plan_no_live_calls; Primary mitigation: `max20_resume`,risk plan max20->max15,,,
selector_candidate_scan,Selector true-heldout candidate scan,eligible 0 / missing 8,no_metric_claim,True,True,True,True,outputs/research_progress_snapshot/selector_true_heldout_candidate_scan.md,selector true-heldout candidate scan; selector_true_heldout_candidate_scan_no_metric_claim; Eligible true-heldout recordings: `0`,heldout scan; heldout scan 0/8,,,
selector_split_validation,Selector true-heldout split validation,true-heldout recordings 0,blocked_waiting_for_valid_sealed_split,True,True,True,True,outputs/research_progress_snapshot/selector_true_heldout_split_validation.md,selector true-heldout split validation; selector_true_heldout_split_validation_no_metric_claim; True-heldout recordings: `0`,split validation,,,
selector_protocol,Selector true-heldout protocol,sealed split required before scoring,protocol_only_no_metric_claim,True,True,True,True,outputs/research_progress_snapshot/selector_true_heldout_protocol.md,selector true-heldout protocol; needs_new_recording_split,P0 split20+heldout,,,
omni48_call_manifest,Omni48 call manifest,48 windows / 96 calls,pending_live_label_only,True,True,True,True,outputs/research_progress_snapshot/omni48_live_call_manifest.md,Omni48 call manifest; 96 calls; label_only_no_timeline_writeback,Omni96 calls,,,
split20_manifest,Split20 full-live manifest,104 parents / 147 calls / resume 139,blocked_by_provider_quota_or_capacity,True,True,True,True,outputs/research_progress_snapshot/split20_full_live_manifest.md,split20 full-live manifest; resume calls 139,split<=20,,,
split20_resume_export_audit,Split20 resume export audit,139 prompts / 101 parents,export_only_no_live_calls,True,True,True,True,outputs/research_progress_snapshot/split20_resume_export_audit.md,resume export audit; 139 prompts,split20 resume audit,,,
split15_stretch_reexport_audit,Split15 stretch re-export audit,178 prompts / 104 parents,stretch_export_only_no_live_calls,True,True,True,True,outputs/research_progress_snapshot/split15_stretch_reexport_audit.md,split15 stretch re-export audit; split15_stretch_reexport_audit_no_live_calls; Export prompts: `178`,stretch178,,,
split_policy_optimization,Split policy optimization,primary max20 / stretch max15,no_metric_claim,True,True,True,True,outputs/research_progress_snapshot/split_policy_optimization.md,Split policy optimization; split_policy_optimization_from_existing_artifacts_no_live_calls; Primary policy: `max20`; Stretch policy: `max15`,split policy,,,
live_readiness,Live readiness,0/3 ready,non_secret_no_live_calls,True,True,True,True,outputs/research_progress_snapshot/live_run_readiness.md,live readiness; readiness 0/3 ready,readiness 0/3,,,
live_agent_plan,Live Agent execution plan,382 planned live calls,handoff_plan_no_live_calls,True,True,True,True,outputs/research_progress_snapshot/live_agent_execution_plan.md,Live Agent execution plan; live_agent_execution_plan_no_live_calls; Planned live calls: `382`,Agent plan,,,
live_execution_runbook,Live execution runbook,7 steps / P0 calls 139,no_secret_values_no_live_calls,True,True,True,True,outputs/research_progress_snapshot/live_execution_runbook.md,Live execution runbook; live_execution_runbook_no_live_calls_no_secret_values; Steps: `7`,runbook 7,,,
