node_order,node_id,priority,stage,current_state,depends_on,evidence_artifacts,success_gate,claim_boundary
1,live_outputs_complete,P0,live_output_coverage,blocked_missing_output,,outputs/research_progress_snapshot/live_output_audit.md,expected_live_calls == 382 and missing_output_surfaces == 0,no_metric_claim_until_live_outputs_complete
2,output_schema_clean,P0,schema_validation,blocked_waiting_live_outputs,live_outputs_complete,outputs/research_progress_snapshot/live_output_schema_contract.md; outputs/research_progress_snapshot/live_output_audit.md,all live/scoring/promotion schema contracts parse with required fields present,schema_gate_no_live_metric_claim
3,deepseek_resume_safety_score,P0,safety_scoring,blocked_missing_output,output_schema_clean,outputs/research_progress_snapshot/live_scoring_readiness.md; outputs/research_progress_snapshot/post_live_scoring_execution_plan.md,DeepSeek resume safety summary exists and harmful_accepts == 0,required_before_zero_harm_safety_claim
4,deepseek_split20_latency_score,P0,latency_comparison,blocked_waiting_safety_score,deepseek_resume_safety_score,outputs/research_progress_snapshot/post_live_scoring_execution_plan.md; outputs/research_progress_snapshot/post_live_latency_claim_matrix.md,full split20 comparison covers 104 parents / 147 planned calls,required_before_full_surface_latency_claim
5,omni48_label_metrics,P1,label_metric_scoring,blocked_missing_output,output_schema_clean,outputs/research_progress_snapshot/live_metric_extraction_contract.md; outputs/research_progress_snapshot/post_live_scoring_execution_plan.md,96 Omni48 label-only rows produce quality and latency summaries,label_only_no_timeline_writeback
6,qwen_backup_metrics,P1,fallback_metric_scoring,fallback_only_waiting_credentials,output_schema_clean,outputs/research_progress_snapshot/live_metric_extraction_contract.md; outputs/research_progress_snapshot/post_live_scoring_execution_plan.md,Qwen fallback safety/comparison summaries exist and remain marked fallback-only,fallback_only_not_primary_claim
7,metric_extraction_complete,P0,metric_extraction,blocked_waiting_scoring_outputs,deepseek_resume_safety_score; deepseek_split20_latency_score; omni48_label_metrics; qwen_backup_metrics,outputs/research_progress_snapshot/live_metric_extraction_contract.md; outputs/research_progress_snapshot/post_live_acceptance_scorecard.md; outputs/research_progress_snapshot/post_live_scoring_output_audit.md,all 8 metric contracts are populated with post-live values or explicit fallback labels and scoring output audit is promotion-ready,metric_extraction_schema_no_live_metric_claim
8,latency_claim_matrix_update,P0,latency_claim_boundary,blocked_waiting_metric_extraction,metric_extraction_complete,outputs/research_progress_snapshot/post_live_latency_claim_matrix.md; outputs/research_progress_snapshot/post_live_acceptance_scorecard.md,"latency matrix separates claim-now, promoted, blocked, label-only, and fallback-only rows",latency_claim_matrix_no_new_metric_claim_until_promotion
9,promotion_gate_pass,P0,claim_promotion,blocked_waiting_traceability_and_promotion_inputs,latency_claim_matrix_update,outputs/research_progress_snapshot/post_live_claim_promotion_gate.md; outputs/research_progress_snapshot/report_ppt_traceability.md,"ready_to_promote_count only increases after output audit, scoring, SLO, and traceability pass",promote_only_after_output_audit_scoring_slo_and_traceability_pass
10,report_ppt_refresh_validation,P0,report_ppt_validation,blocked_waiting_promotion_refresh,promotion_gate_pass,outputs/research_progress_snapshot/latest_artifact_validation.md; outputs/research_progress_snapshot/report_ppt_traceability.md; docs/reports/2026-06-03-realtime-dual-agent-roadmap.md; ../研究进展汇报.pptx,refresh pass; validator failed_checks empty; report/PPT traceability fully covered,report_ppt_sync_required_before_claim_promotion
